Step 	Gauss' Law 		Energy			Poynting Vector (Scaled)
27		-0.00056974		919.815			0.006619x^ + 0.860476y^ + -1.000000z^
28		-0.00056974		987.287			0.021270x^ + 1.000000y^ + 0.106501z^
29		-0.00056974		1056.39			0.061618x^ + 1.000000y^ + 0.112314z^
30		-0.00056974		1126.83			0.152567x^ + 1.000000y^ + 0.059871z^
31		-0.00056974		1201.53			0.337097x^ + 1.000000y^ + 0.056671z^
32		-0.00056974		1276.47			0.672363x^ + 1.000000y^ + 0.062417z^
33		-0.00056974		1356.48			1.000000x^ + 0.825591y^ + 0.051397z^
34		-0.00056974		1436.73			1.000000x^ + 0.509485y^ + 0.031114z^
35		-0.00056974		1520.29			1.000000x^ + 0.353019y^ + 0.021839z^
36		-0.00056974		1605.69			1.000000x^ + 0.281310y^ + 0.018142z^
37		-0.00056974		1693.31			1.000000x^ + 0.273606y^ + 0.018748z^
38		-0.00056974		1782.92			1.000000x^ + 0.395915y^ + 0.029713z^
39		-0.00056974		1873.33			-0.345531x^ + 1.000000y^ + 0.088428z^
40		-0.00056974		1967.22			-1.000000x^ + 0.199126y^ + 0.024763z^
41		-0.00056974		2061.59			-1.000000x^ + 0.092860y^ + 0.041587z^
42		-0.00056974		2158.57			1.000000x^ + -0.064268y^ + 0.004726z^
43		-0.00056974		2255.77			1.000000x^ + -0.058003y^ + 0.000045z^
44		-0.00056974		2356.65			1.000000x^ + -0.074406y^ + -0.001641z^
45		-0.00056974		2455.4			1.000000x^ + -0.307233y^ + -0.011785z^
46		-0.00056974		2555.77			-1.000000x^ + -0.086126y^ + -0.005084z^
47		-0.00056974		2655.25			-1.000000x^ + -0.038016y^ + -0.004888z^
48		-0.00056974		2756.38			1.000000x^ + 0.029377y^ + -0.003470z^
49		-0.00056974		2855.92			1.000000x^ + 0.033529y^ + -0.000287z^
50		-0.00056974		2954.5			1.000000x^ + 0.080280y^ + 0.001721z^
51		-0.00056974		3050.65			-1.000000x^ + 0.078509y^ + 0.003217z^
52		-0.00056974		3146.28			-1.000000x^ + 0.028329y^ + 0.001773z^
53		-0.00056974		3241.28			1.000000x^ + -0.022480y^ + 0.000823z^
54		-0.00056974		3331.96			1.000000x^ + -0.028877y^ + -0.000134z^
55		-0.00056974		3418.85			1.000000x^ + -0.150778y^ + -0.002646z^
56		-0.00056974		3501.16			-1.000000x^ + -0.034689y^ + -0.001283z^
57		-0.00056974		3583.76			-1.000000x^ + -0.018961y^ + -0.006828z^
58		-0.00056974		3660.95			1.000000x^ + 0.020567y^ + -0.000655z^
59		-0.00056974		3731.17			1.000000x^ + 0.057546y^ + 0.000008z^
60		-0.00056974		3795.43			-1.000000x^ + 0.040300y^ + 0.003003z^
61		-0.00056974		3856.97			-1.000000x^ + 0.018118y^ + 0.006296z^
62		-0.00056974		3913.85			1.000000x^ + -0.018265y^ + -0.000775z^
63		-0.00056974		3961.16			1.000000x^ + -0.039080y^ + -0.003982z^
64		-0.00056974		3999.38			-1.000000x^ + -0.064547y^ + -0.002017z^
65		-0.00056974		4036			-1.000000x^ + -0.019654y^ + 0.002193z^
66		-0.00056974		4069.98			1.000000x^ + 0.014900y^ + 0.001581z^
67		-0.00056974		4093.03			1.000000x^ + 0.022308y^ + -0.000345z^
68		-0.00056974		4105.99			-1.000000x^ + 0.070685y^ + -0.002839z^
69		-0.00056974		4118.69			-1.000000x^ + 0.014116y^ + -0.000939z^
70		-0.00056974		4131.86			1.000000x^ + -0.012346y^ + 0.002511z^
71		-0.00056974		4136.09			1.000000x^ + -0.027695y^ + 0.004095z^
72		-0.00056974		4128.68			-1.000000x^ + -0.033859y^ + -0.003709z^
73		-0.00056974		4125.28			-1.000000x^ + -0.013498y^ + -0.016303z^
74		-0.00056974		4129.09			1.000000x^ + 0.015304y^ + -0.000509z^
75		-0.00056974		4122.98			1.000000x^ + 0.039079y^ + 0.013331z^
76		-0.00056974		4107.85			-1.000000x^ + 0.056662y^ + 0.014297z^
77		-0.00056974		4101.24			-1.000000x^ + 0.021955y^ + -0.008154z^
78		-0.00056974		4104.39			-1.000000x^ + 0.017953y^ + -0.133684z^
79		-0.00056974		4098.79			1.000000x^ + -0.017072y^ + -0.001324z^
80		-0.00056974		4085.44			-1.000000x^ + -0.180546y^ + 0.021442z^
81		-0.00056974		4084.58			-1.000000x^ + -0.012224y^ + 0.004309z^
82		-0.00056974		4095.48			1.000000x^ + 0.009883y^ + -0.001388z^
